Company,Category,Product Code,Product Name,Full Description,Short Code,Commodity Code,EAN (Bar Code),Wash Degrees,Gender,GSM,Composition,Specifications,Colour Code,Colour,Pantone,Hex,Size,Price Single,Qty Single,Price Pack,Pack Qty,Price Caton,Carton Qty,Price 1K,1K Qty,MyPrice,Model Large Image,Model Small Image,Large Colour Image,Small Colour Image,Video Link,Packaging,Country of Origin,Gross Weight,Net Weight,Tax Code
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - 4XL - 220GSM Classic Poloshirt,101BK4XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,4XL,3.85,1,3.6,10,3.4,60,3.25,1000,3.25,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - 5XL - 220GSM Classic Poloshirt,101BK5XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,5XL,4.35,1,4.1,10,3.9,60,3.75,1000,3.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - 6XL - 220GSM Classic Poloshirt,101BK6XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,6XL,4.35,1,4.1,10,3.9,60,3.75,1000,3.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - Large - 220GSM Classic Poloshirt,101BKLR,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,L,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - Med - 220GSM Classic Poloshirt,101BKMD,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,M,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - Small - 220GSM Classic Poloshirt,101BKSM,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,S,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - XL - 220GSM Classic Poloshirt,101BKXL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - XS - 220GSM Classic Poloshirt,101BKXS,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,XS,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Charcoal - XXL - 220GSM Classic Poloshirt,101CH2XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,CH,Charcoal,432 C,#414B56,2XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-CH-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-CH-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Charcoal - 3XL - 220GSM Classic Poloshirt,101CH3XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,CH,Charcoal,432 C,#414B56,3XL,3.85,1,3.6,10,3.4,60,3.25,1000,3.25,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-CH-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-CH-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Charcoal - 4XL - 220GSM Classic Poloshirt,101CH4XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,CH,Charcoal,432 C,#414B56,4XL,3.85,1,3.6,10,3.4,60,3.25,1000,3.25,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-CH-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-CH-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Charcoal - Large - 220GSM Classic Poloshirt,101CHLR,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,CH,Charcoal,432 C,#414B56,L,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-CH-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-CH-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Charcoal - Med - 220GSM Classic Poloshirt,101CHMD,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,CH,Charcoal,432 C,#414B56,M,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-CH-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-CH-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Charcoal - Small - 220GSM Classic Poloshirt,101CHSM,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,CH,Charcoal,432 C,#414B56,S,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-CH-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-CH-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Charcoal - XL - 220GSM Classic Poloshirt,101CHXL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,CH,Charcoal,432 C,#414B56,XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-CH-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-CH-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Charcoal - XS - 220GSM Classic Poloshirt,101CHXS,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,CH,Charcoal,432 C,#414B56,XS,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-CH-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-CH-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - 2XL - 220GSM Classic Poloshirt,101FN2XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,2XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
